Model,Property,power,Official Price,Market Price
GAC Empow 2024,A/T / GE S-Style,1500 CC Turbo,"1,390,000 EGP",
GAC GS4 2024,Automtic /Ge,1500 CC Turbo,"1,390,000 EGP",
MG RX5 Plus 2023,A/T / Luxury,1500 CC Turbo,"1,390,000 EGP",
Land Rover Discovery sport 2021,A/T / HSE,2000 CC Turbo,error Car not available,
Jaguar F-Pace 2021,A/T / P250 R Dynamic,2000 CC Turbo,error Car not available,
Jetour Dashing 2024,A/T / Comfort,1500 CC Turbo,"1,394,000 EGP","1,465,000 EGP"
Seat Arona 2024,A/T / Experience,1000 CC Turbo,"1,395,000 EGP",
Dongfeng Venucia Star 2023,Automtic,1500 CC Turbo,"1,395,000 EGP",
Mitsubishi Eclipse Cross 2023,A/T / GLX 4WD,1500 CC Turbo,"1,395,000 EGP",
KGM (ssangyong) Tivoli XLV 2024,Automtic,1600 CC,"1,400,000 EGP",
GAC Emkoo 2024,Automtic /Gs,1500 CC Turbo,"1,400,000 EGP",
Suzuki Fronx 2024,A/T / GL / 2 tone,1500 CC,"1,400,000 EGP",
Nissan Qashqai 2024,AT / ACCENTA,1300 CC Turbo,"1,406,500 EGP","1,870,000 EGP"
GAC GS3 Emzoom 2024,Automatic / RS Style,1500 CC Turbo,"1,410,000 EGP",
Chery Tiggo 8 2024,A/T / Luxury,1500 CC Turbo,"1,410,000 EGP","1,445,000 EGP To 1,650,000 EGP"
Nissan Qashqai 2024,AT / ACCENTA 2T,1300 CC Turbo,"1,411,500 EGP","1,905,000 EGP"
Peugeot 3008 2023,A/T / Active Pack,1600 CC Turbo,"1,414,990 EGP",
Citroën C4 2024,A/T / Feel,1200 CC Turbo,"1,415,000 EGP",
GAC Empow 2024,A/T / GE S-Style Matte,1500 CC Turbo,"1,420,000 EGP",
Ford Focus 2023,A/T / Connected 5d,1500 CC,"1,425,000 EGP",
Kia Sportage 2023,A/T / Highline,1600 CC Turbo,"1,429,900 EGP",
Renault Megane 2023,A/T / Signature / W/O,1600 CC,"1,430,000 EGP",
Geely Cool Ray 2024 Facelift,A/T / Premium ( AUTO MOBILITY),1500 CC Turbo,"1,434,900 EGP",
Geely Cool Ray 2024 Facelift,A/T / Highline / (Abou Ghaly),1500 CC Turbo,"1,434,900 EGP",
GAC GS3 Emzoom 2024,A/T / R_style / MATT / G / G,1500 CC Turbo,"1,440,000 EGP",
Mitsubishi Xpander 2024,Automatic / Midline,1500 CC,"1,440,000 EGP",
Renault Megane 2023,A/T / Signature / w,1600 CC,"1,440,000 EGP",
Jetour X70 Plus 2024,A/T / Luxury,1500 CC Turbo,"1,449,000 EGP","1,539,000 EGP"
Kia Grand Cerato 2024,A/T / LX FO,1600 CC,"1,449,900 EGP",
Opel Grandland 2023,A/T / Highline,1600 CC Turbo,"1,449,990 EGP",
Opel Crossland 2024,A/T / Top Line,1200 CC Turbo,"1,449,990 EGP","1,550,000 EGP"
Land Rover Range Rover Evoque 2021,A/T / SE,2000 CC Turbo,error Car not available,
Ford Focus 2023,A/T / Connected 4d,1500 CC,"1,450,000 EGP",
MG RX5 Plus 2024,A/T / Comfort,1500 CC Turbo,"1,450,000 EGP","1,550,000 EGP"
Seat Ateca 2023,A/T / Experience,1400 CC Turbo,"1,450,000 EGP",
Audi A3 2023,A/T / S-Line,1400 CC Turbo,error Car not available,
Audi A3 2023,A/T / Sport back,1400 CC Turbo,error Car not available,
Audi Q3 2023,A/T / Advanced,1400 CC Turbo,error Car not available,
Volkswagen T-Roc 2023,A/T / R-Line,1400 CC Turbo,"1,450,000 EGP",
Citroën C4X 2024,Automatic / Feel,1200 CC Turbo,"1,450,000 EGP",
Suzuki Fronx 2024,A/T / GLX,1500 CC,"1,450,000 EGP",
Renault Megane 2023,A/T / Dynamic Turbo,1300 CC Turbo,"1,450,000 EGP",
Bestune B70S 2023,A/T / Limousine,1500 CC Turbo,"1,455,000 EGP",
Chery Tiggo 8 2024,A/T / Luxury 7 Seats,1500 CC Turbo,"1,460,000 EGP","1,495,000 EGP To 1,700,000 EGP"
Ford Focus 2023,A/T / Titanium 5Dr,1500 CC,"1,465,000 EGP",
Citroën C5 Aircross 2023 Facelift,A/T / FEEL / with out sunroof,1600 CC Turbo,"1,465,000 EGP",
Mini Cooper 2023,A/T / 3-Door Iconic,1500 CC Turbo,"1,470,000 EGP",
Chevrolet Captiva 2024,A/T / LV3,1500 CC Turbo,"1,470,000 EGP","1,770,000 EGP"
Toyota Corolla 2024,Automatic / Active,1600 CC,"1,475,000 EGP","1,930,000 EGP"
Skoda Octavia A8 2023,A/T / Style,1400 CC Turbo,"1,475,000 EGP",
Fiat 500 X 2024,A/T / Cross,1400 CC Turbo,"1,475,000 EGP",
Nissan Qashqai 2024,AT / TEKNA,1300 CC Turbo,"1,477,500 EGP",
Nissan Qashqai 2024,AT / TEKNA 2T,1300 CC Turbo,"1,482,500 EGP",
Ford Focus 2023,A/T / Titanium 4d,1500 CC,"1,485,000 EGP",
Jaguar XF 2021,A/T / P250 R Dynamic AWD,2000 CC Turbo,error Car not available,
Jetour Dashing 2024,A/T / Luxury,1500 CC Turbo,"1,494,000 EGP","1,655,000 EGP"
GAC Emkoo 2024,Automtic /GB,1500 CC Turbo,"1,500,000 EGP",
Mitsubishi Xpander 2024,Automatic / HL,1500 CC,"1,500,000 EGP",
MG RX5 Plus 2024,A/T / Luxury,1500 CC Turbo,"1,500,000 EGP","1,710,000 EGP"
Mini Cooper 2023,A/T / 5Door Iconic,1500 CC Turbo,"1,500,000 EGP",
Suzuki Fronx 2024,A/T / GLX 2 Tone,1500 CC,"1,500,000 EGP",
Citroën C5 Aircross 2023 Facelift,A/T / Feel with sunroof,1600 CC Turbo,"1,515,000 EGP",
Chevrolet Captiva 2024,A/T / LV3 (7seats),1500 CC Turbo,"1,520,000 EGP","2,000,000 EGP"
Fiat 500 X 2024,A/T / Cross,1400 CC Turbo,"1,525,000 EGP",
Peugeot 508 2023,A/T / Allure Pack,1600 CC Turbo,"1,529,990 EGP",
Renault Megane 2023,A/T / Signature / Turbo / W/O / S/R,1300 CC Turbo,"1,530,000 EGP",
Mini Cooper 2023,A/T / 3-Door Resolute,1500 CC Turbo,"1,530,000 EGP",
Peugeot 3008 2023,A/T / Allure Pack,1600 CC Turbo,"1,534,990 EGP",
Kia Grand Cerato 2024,A/T / EX Cam,1600 CC,"1,549,900 EGP",
Opel Corsa 2024,A/T / Top line Plus,1200 CC Turbo,"1,549,990 EGP",
Skoda Octavia A8 2023,A/T / Style Plus,1400 CC Turbo,"1,550,000 EGP",
Ds Ds4 2023,A/T / Trocadero,1600 CC Turbo,"1,550,000 EGP",
Kia Sportage 2023,A/T / Top Line,1600 CC Turbo,"1,559,900 EGP",
Peugeot 408 2023,A/T / ALLURE PACK,1600 CC Turbo,"1,560,000 EGP",
Peugeot 5008 2023,A/T / Active Pack,1600 CC Turbo,"1,564,990 EGP",
Renault Megane 2023,A/T / Signature / Turbo / W/O,1300 CC Turbo,"1,580,000 EGP",
Geely Cool Ray 2024 Facelift,A/T / Sport (AUTO MOBILITY),1500 CC Turbo,"1,584,900 EGP",
Geely Cool Ray 2024 Facelift,A/T / Top Line / (Abou Ghaly),1500 CC Turbo,"1,584,900 EGP",
Renault Megane 2023,A/T / Signature Turbo,1300 CC Turbo,"1,590,000 EGP",
Land Rover Defender 2021,A/T / P300,2000 CC Turbo,error Car not available,
KGM (ssangyong) Torres 2024,Automtic /comfort,1500 CC Turbo,"1,599,000 EGP",
Opel Grandland 2023,A/T / Top Line,1600 CC Turbo,"1,599,990 EGP",
GAC Emkoo 2024,Automtic /GL,1500 CC Turbo,"1,600,000 EGP",
Mini Country man 2023,A/T / Original,1500 CC Turbo,"1,600,000 EGP",
Citroën C4 2024,A/T / Shine,1200 CC Turbo,"1,600,000 EGP",
Volkswagen Passat 2023,A/T / COMFORTLINE,1400 CC Turbo,error Car not available,
Audi Q3 2023,A/T / S-Line,1400 CC Turbo,error Car not available,
Citroën C5 Aircross 2023 Facelift,A/T / SHINE,1600 CC Turbo,"1,615,000 EGP",
Peugeot 2008 2024,A/T / ALLURE,1200 CC Turbo,"1,629,990 EGP",
Kia Sportage 2023,A/T / GT-Line,1600 CC Turbo,"1,639,900 EGP",
Toyota Corolla 2024,Automatic / Comfort,1600 CC,"1,640,000 EGP","2,195,000 EGP"
Citroën C4X 2024,Automatic / Shine,1200 CC Turbo,"1,640,000 EGP",
Kia Grand Cerato 2024,A/T / Highline,1600 CC,"1,649,900 EGP",
Peugeot 508 2023,A/T / GT Line,1600 CC Turbo,"1,649,990 EGP","2,250,000 EGP"
Seat Leon 2024,A/T / FR,1400 CC Turbo,"1,650,000 EGP",
Baic X7 2024,A/T / Premium,1500 CC Turbo,"1,650,000 EGP",
Renault Megane 2023,A/T / Signature + Turbo,1300 CC Turbo,"1,650,000 EGP",
Audi A4 2023,A/T / Smart,2000 CC,error Car not available,
Jetour Dashing 2024,A/T / Luxury,1600 CC Turbo,"1,659,000 EGP",
Geely Cool Ray 2024 Facelift,A/T / Sport +(AUTO MOBILITY),1500 CC Turbo,"1,659,900 EGP",
Geely Cool Ray 2024 Facelift,A/T / Special Edition / (Abou Ghaly),1500 CC Turbo,"1,659,900 EGP",
Peugeot 508 2023,A/T / GT Line Red Interior,1600 CC Turbo,"1,659,990 EGP",
Mercedes B 200 2023,A/T / SPORTS TOURER,1300 CC Turbo,"1,675,000 EGP",
Seat Ateca 2023,A/T / Style Plus,1400 CC Turbo,"1,675,000 EGP",
Mitsubishi Eclipse Cross 2024,A/T / Insport GLX,1500 CC Turbo,"1,675,000 EGP",
BMW 118 2023,A/T / sport line,1500 CC Turbo,"1,680,000 EGP",
Ds Ds4 2023,A/T / Performance Line,1600 CC Turbo,"1,680,000 EGP",
Peugeot 3008 2023,A/T / GT,1600 CC Turbo,"1,689,990 EGP",
Leapmotor C11 2023,Automtic,0 CC,"1,692,000 EGP",
Peugeot 5008 2023,A/T / Allure Pack,1600 CC Turbo,"1,694,990 EGP",
Cupra Leon 2023,Automtic,2000 CC Turbo,"1,695,000 EGP",
Dongfeng Huge 2024,A/T / HUGE-Hybrid,1500 CC Turbo,"1,695,000 EGP",
Land Rover Velar 2021,A/T / P250 R Dynamic SE,2000 CC Turbo,error Car not available,
KGM (ssangyong) Torres 2024,Automtic /advanced,1500 CC Turbo,"1,699,000 EGP",
Geely Geometry C 2024 Facelift,A/T / Gf / (Abou Ghaly),0 CC,"1,699,900 EGP",
Peugeot 3008 2023,A/T / GT Red interior,1600 CC Turbo,"1,699,990 EGP",
Land Rover Discovery 2021,Automtic,2000 CC Turbo,error Car not available,
Skoda Superb 2023,A/T / Ambition,1400 CC Turbo,"1,700,000 EGP",
Seat Tarraco 2023,A/T / STYLE PLUS,1400 CC Turbo,"1,700,000 EGP",
Citroën C5 Aircross 2024,A/T / Live,1600 CC Turbo,"1,700,000 EGP",
Porsche Cayman S 2020,manual‏ / 718,2500 CC Turbo,"1,715,000 EGP",
BMW X2 2023,A/T / M SPORT X,1500 CC Turbo,"1,725,000 EGP",
Jetour X90 Plus 2024,A/T / Luxury,1600 CC Turbo,"1,734,000 EGP","1,844,000 EGP"
Mitsubishi Eclipse Cross 2024,A/T / Inspire GLS,1500 CC Turbo,"1,740,000 EGP",
Kia Xceed 2024,A/T / Highline,1500 CC Turbo,"1,749,900 EGP",
Opel Mokka 2024,A/T / GS Line,1200 CC Turbo,"1,749,990 EGP",
Peugeot 2008 2024,A/T / GT LINE,1200 CC Turbo,"1,749,990 EGP",
Suzuki Grand vitara 2024,A/T / GLX,1500 CC,"1,750,000 EGP",
Renault Austral 2024,A/T / Evolution,1300 CC Turbo,"1,750,000 EGP",
Toyota Corolla 2024,Automtic / SMART,1600 CC,"1,750,000 EGP",
Mini Country man 2023,A/T / Iconic,1500 CC Turbo,"1,750,000 EGP",
Volkswagen Tiguan 2023,A/T / R-Line,1400 CC Turbo,"1,750,000 EGP",
Suzuki Grand vitara 2024,A/T / GLX,1500 CC,"1,750,000 EGP",
Renault Austral 2024,A/T / Evolution,1300 CC Turbo,"1,750,000 EGP",
Volkswagen Golf 2024,A/T / Life,1400 CC Turbo,"1,775,000 EGP",
Peugeot 408 2023,A/T / GT,1600 CC Turbo,"1,780,000 EGP",
Volkswagen T-Roc 2024,A/T / R-Line,1400 CC Turbo,"1,790,000 EGP",
Mini Country man 2024,A/T / Original,1500 CC Turbo,"1,795,000 EGP",
Geely Geometry C 2024 Facelift,A/T / GF plus / (Abou Ghaly),0 CC,"1,799,900 EGP",
Mini Cooper 2024,A/T / 3-Door Original,1500 CC Turbo,"1,800,000 EGP",
Seat Tarraco 2023,A/T / Experience,1400 CC Turbo,"1,800,000 EGP",
Mitsubishi Eclipse Cross 2024,A/T / Instyle GLS,1500 CC Turbo,"1,800,000 EGP",
BMW 218 i 2023,A/T / ADVANTAGE,1500 CC Turbo,"1,800,000 EGP",
Suzuki Grand vitara 2024,A/T / GLX 2 Tone,1500 CC,"1,800,000 EGP",
Toyota Corolla 2024,Automatic / SMART / Sun Roof,1600 CC,"1,800,000 EGP",
Porsche Boxster S 2020,M/T / 718,2500 CC,"1,800,000 EGP",
Peugeot 508 2023,A/T / GT MAX,1600 CC Turbo,"1,809,990 EGP",
Peugeot 508 2023,A/T / GT MAX Red Interior,1600 CC Turbo,"1,819,990 EGP",
Mini Mini Cooper S 2023,A/T / S 3-Door Iconic,2000 CC Turbo,"1,830,000 EGP",
Kia Xceed 2024,A/T / Highline / Panorama,1500 CC Turbo,"1,839,900 EGP",
Toyota Corolla 2024,Automatic / Elgance,1600 CC,"1,850,000 EGP",
Renault Austral 2024,A/T / Techno,1300 CC Turbo,"1,850,000 EGP",
Skoda Octavia A8 2023,Automtic / RS,2000 CC Turbo,"1,850,000 EGP",
Audi A4 2023,A/T / S Line Plus,2000 CC,error Car not available,
Peugeot 5008 2023,A/T / GT,1600 CC Turbo,"1,859,990 EGP",
Citroën C5 Aircross 2024,A/T / FEEL / with out sunroof,1600 CC Turbo,"1,865,000 EGP",
Peugeot 5008 2023,A/T / GT Red interior,1600 CC Turbo,"1,869,990 EGP",
BMW 218 i 2023,A/T / Sport Line,1500 CC Turbo,"1,870,000 EGP",
Mitsubishi Eclipse Cross 2024,A/T / GLX 4WD,1500 CC Turbo,"1,870,000 EGP","1,900,000 EGP To 2,250,000 EGP"
Geely Okavango 2024,A/T /Premium / (Abou Ghaly),1500 CC Turbo,"1,879,900 EGP",
Geely Okavango 2024,A/T / Premium (AUTO MOBILITY),1500 CC Turbo,"1,879,900 EGP",
Mini Mini Cooper S 2023,A/T / S 3-Door Resolute,2000 CC Turbo,"1,880,000 EGP",
Jaguar F-Type 2021,A/T / P300 R Dynamic Convertiblery,2000 CC Turbo,error Car not available,
KGM (ssangyong) Torres 2024,Automtic /luxury,1500 CC Turbo,"1,899,000 EGP",
Land Rover Velar 2021,A/T / P250 R Dynamic HSE,2000 CC Turbo,error Car not available,
Skoda Octavia A8 2024,A/T / Ambition,1400 CC Turbo,"1,900,000 EGP",
Skoda Kodiaq 2023,A/T / Ambition,1400 CC Turbo,"1,925,000 EGP",
Citroën C5 Aircross 2024,A/T / Feel with sunroof,1600 CC Turbo,"1,940,000 EGP",
Mercedes CLA 200 2023,A/T / Coupe Progressive,1300 CC Turbo,"1,943,000 EGP","2,600,000 EGP To 3,900,000 EGP"
Kia Xceed 2024,A/T / Top Line / Panorama,1500 CC Turbo,"1,949,900 EGP",
Opel Grandland 2024,A/T / Highline +,1600 CC Turbo,"1,949,990 EGP",
Cupra Leon 2024,Automtic,2000 CC Turbo,"1,950,000 EGP",
Cupra Formentor 2023,Automtic,2000 CC Turbo,"1,950,000 EGP",
Renault Austral 2024,A/T / Iconic,1300 CC Turbo,"1,950,000 EGP",
Peugeot 3008 2024,A/T / Active Pack,1600 CC Turbo,"1,959,990 EGP",
Mini Country man 2024,A/T / Iconic,1500 CC Turbo,"1,960,000 EGP",
Mini Cooper 2024,A/T / 3-Door Iconic,1500 CC Turbo,"1,980,000 EGP",
Maserati Ghibli 2021,A/T / Standard,2000 CC Turbo,"1,990,000 EGP",
Seat Ateca 2024,A/T / Style Plus,1400 CC Turbo,"1,990,000 EGP","2,450,000 EGP"
Land Rover Range Rover 2021,A/T / P300 HSE,2000 CC Turbo,error Car not available,
Land Rover Range Rover Sport 2020,Automtic,2000 CC,"1,999,000 EGP",
KGM (ssangyong) Torres 2024,Automtic /adventure,1500 CC Turbo,"1,999,000 EGP",
Land Rover Range Rover Sport 2020,Automtic,2000 CC,"1,999,000 EGP",
Kia Sportage 2024,A/T / GT-Line,1600 CC Turbo,error Car not available,
Skoda Kodiaq 2023,A/T / Style,1400 CC Turbo,"2,000,000 EGP",
BMW X1 2023,A/T / X Line,1500 CC Turbo,"2,000,000 EGP",
Audi A5 2023,A/T / S-Line,2000 CC Turbo,error Car not available,
BMW 218 i 2023,A/T / M SPORT,1500 CC Turbo,"2,000,000 EGP",
Mercedes GLA 2023,A/T / 200 Progressive,1400 CC Turbo,"2,025,000 EGP",
Land Rover Defender 2021,A/T / P400,3000 CC Turbo,error Car not available,
Peugeot 408 2024,A/T / ALLURE,1600 CC Turbo,"2,049,990 EGP",
Skoda Kodiaq 2023,A/T / SPORT LINE,1400 CC Turbo,"2,050,000 EGP",
Mini Cooper 2024,A/T / 5Door Iconic,1500 CC Turbo,"2,050,000 EGP",
Renault Austral 2024,A/T / Esprit Alpine,1300 CC Turbo,"2,050,000 EGP",
Toyota Fortuner 2023,A/T / SMART,2700 CC,"2,050,000 EGP",
Citroën C5 Aircross 2024,A/T / SHINE,1600 CC Turbo,"2,060,000 EGP",
Renault Austral 2024,A/T / Esprit Alpine / B/E,1300 CC Turbo,"2,060,000 EGP",
Opel Grandland 2024,A/T / Top Line,1600 CC Turbo,"2,074,990 EGP",
Kia Sportage 2024,A/T / LX,1600 CC Turbo,"2,099,900 EGP",
Peugeot 3008 2024,A/T / Allure Pack,1600 CC Turbo,"2,099,990 EGP","2,550,000 EGP"
Audi Q3 2023,A/T / Sport back,2000 CC Turbo,error Car not available,
Peugeot 408 2024,A/T / ALLURE PACK,1600 CC Turbo,"2,109,990 EGP",
Porsche Boxster 2020,manual‏ / 718 GTS,4000 CC,"2,135,000 EGP",
Volvo XC 40 2023,A/T / Core,2000 CC Turbo,"2,150,000 EGP",
Mini Country man 2023,A/T / S Iconic,2000 CC Turbo,"2,150,000 EGP",
Skoda Kodiaq 2023,A/T / L&K,1400 CC Turbo,"2,150,000 EGP",
Skoda Octavia A8 2024,A/T / Style,1400 CC Turbo,"2,150,000 EGP",
BMW 320 2023,A/T / Advantage,1600 CC Turbo,"2,150,000 EGP",
Nissan XTrail 2024,A/T / Acenta 2WD,1500 CC Turbo,"2,199,900 EGP",
BMW X1 2023,A/T / M Sport,1500 CC Turbo,"2,200,000 EGP",
BMW 118 2024,A/T / sport line,1500 CC Turbo,"2,200,000 EGP",
Peugeot 5008 2024,A/T / Active Pack,1600 CC Turbo,"2,209,990 EGP",
Kia Sportage 2024,A/T / EX,1600 CC Turbo,"2,249,900 EGP",
Peugeot 3008 2024,A/T / GT,1600 CC Turbo,"2,269,990 EGP",
Peugeot 3008 2024,A/T / GT Red interior,1600 CC Turbo,"2,279,990 EGP",
Mercedes C 180 2023,A/T / Avantgarde plus,1500 CC Turbo,"2,280,000 EGP",
BMW 320 2023,A/T / Luxury,1600 CC Turbo,"2,300,000 EGP",
Mini Country man 2024 New Generation,A/T / C,1500 CC Turbo,error Car not available,
Peugeot 5008 2024,A/T / Allure Pack,1600 CC Turbo,"2,349,990 EGP",
Peugeot 408 2024,A/T / GT,1600 CC Turbo,"2,349,990 EGP",
Toyota Fortuner 2023,Automtic / ELEGANCE,4000 CC,"2,350,000 EGP",
Mercedes C 180 2023,A/T / Sport,1500 CC Turbo,"2,350,000 EGP",
Volkswagen Tiguan 2024,A/T / R-Line,1400 CC Turbo,"2,390,000 EGP","2,540,000 EGP To 2,840,000 EGP"
Land Rover Discovery 2021,A/T / Luxury,3000 CC Turbo,error Car not available,
Seat Tarraco 2024,A/T / Experience,1400 CC Turbo,"2,400,000 EGP",
BMW 320 2023,A/T / Sport,1600 CC Turbo,"2,400,000 EGP",
Volvo XC 40 2023,A/T / Ultimate Dark,2000 CC Turbo,"2,400,000 EGP",
BMW 218 i 2024,A/T / Sport Line,1500 CC Turbo,"2,400,000 EGP",
Skoda Octavia A8 2024,A/T / Style Plus,1400 CC Turbo,"2,400,000 EGP",
Maserati Ghibli 2019,Automatic,3000 CC,"2,400,000 EGP",
Porsche Cayman 2020,manual‏ / 718 GT4,4000 CC Turbo,"2,405,000 EGP",
Mini Country man 2024,A/T / S Iconic,2000 CC Turbo,"2,410,000 EGP",
Mini Mini Cooper S 2024,A/T / S 3-Door Iconic,2000 CC Turbo,"2,420,000 EGP",
Kia Sportage 2024,A/T / Highline,1600 CC Turbo,"2,449,900 EGP","2,700,000 EGP"
Toyota Fortuner 2023,A/T / Sport,4000 CC,"2,450,000 EGP",
Subaru XV Crosstrek 2024,Automtic,2000 CC,"2,495,000 EGP",
Nissan XTrail 2024,A/T / E-4orce Tekna,1500 CC Turbo,"2,499,900 EGP",
Lexus ES 350 2020,Automtic,3500 CC,"2,500,000 EGP",
Peugeot 5008 2024,A/T / GT,1600 CC Turbo,"2,519,990 EGP",
Peugeot 5008 2024,A/T / GT Red interior,1600 CC Turbo,"2,529,990 EGP",
Mini Country man 2024 New Generation,A/T / S ALL4,2000 CC Turbo,error Car not available,
Cupra Formentor 2024,Automtic,2000 CC Turbo,"2,550,000 EGP",
Lexus Rx 2020,A/T / 350 RX1,3500 CC,"2,550,000 EGP",
Kia Sportage 2024,A/T / Top Line,1600 CC Turbo,"2,599,900 EGP","3,220,000 EGP"
BMW 218 i 2024,A/T / M SPORT,1500 CC Turbo,"2,600,000 EGP",
Maserati Ghibli 2019,Automatic / S,3000 CC,"2,600,000 EGP",
Mini Country man 2024 New Generation,A/T / JCW ALL 4,1500 CC Turbo,error Car not available,
Seat Tarraco 2024,A/T / FR,1400 CC Turbo,"2,600,000 EGP",
Maserati Levante 2019,Automatic,3000 CC,"2,600,000 EGP",
BMW 520 2023,A/T / Advantage,1600 CC Turbo,"2,600,000 EGP","3,900,000 EGP"
Porsche Macan 2023,Automtic,2000 CC Turbo,"2,635,000 EGP",
Kia Sportage 2024,A/T / Special Edition,1600 CC Turbo,"2,649,900 EGP",
Audi A6 2023,A/T / S Line,2000 CC,error Car not available,
Lexus ES 350 2020,Automtic,3500 CC,"2,650,000 EGP",
Alfa Romeo Tonale 2024,A/T / TI,2000 CC Turbo,"2,690,000 EGP",
Subaru Forester 2024,Automtic,2000 CC,"2,695,000 EGP",
Kia Sportage 2024,A/T / GT,1600 CC Turbo,"2,699,900 EGP",
Mercedes C 200 2023,A/T / Sport,1500 CC Turbo,"2,705,000 EGP","4,450,000 EGP"
BMW IX1 2023,A/T / Elc,0 CC,"2,750,000 EGP",
BMW X1 2024,A/T / X Line,1500 CC Turbo,"2,750,000 EGP",
Porsche Macan 2023,A/T / T,2000 CC Turbo,"2,755,900 EGP",
BMW 420 2023,A/T / GC,2000 CC Turbo,"2,850,000 EGP",
BMW 520 2023,A/T / Luxury,1600 CC Turbo,"2,900,000 EGP","4,450,000 EGP"
BMW 320 2024,A/T / Advantage,1600 CC Turbo,"2,900,000 EGP",
Alfa Romeo Tonale 2024,A/T / Veloce,2000 CC Turbo,"2,950,000 EGP",
Mercedes E 200 2023,A/T / PREMIUM,2000 CC Turbo,"2,950,000 EGP",
Maserati Levante 2019,Automatic / S,3000 CC,"2,950,000 EGP",
Skoda Kodiaq 2024,A/T / Ambition,1400 CC Turbo,"2,950,000 EGP","3,000,000 EGP"
Lexus Rx 2020,A/T / 350 RX2,3500 CC,"2,950,000 EGP",
Skoda Octavia A8 2024,Automtic / RS,2000 CC Turbo,"3,000,000 EGP",
Toyota Fortuner 2024,A/T / SMART,2700 CC,"3,000,000 EGP",
Volvo XC60 2023,A/T / Core FWD,2000 CC Turbo,"3,000,000 EGP",
Maserati Quattroporte 2019,Automtic,3000 CC,"3,000,000 EGP",
Porsche 718 2023,A/T / Cayman,2000 CC Turbo,"3,019,400 EGP",
Lexus Rx 2020,A/T / 350 RX3,3500 CC,"3,050,000 EGP",
BMW 218 i 2023,A/T / M235I xDRIVE,2000 CC Turbo,"3,050,000 EGP",
Alfa Romeo Giulia 2024,AT / sprint,2000 CC Turbo,"3,050,000 EGP",
Audi Q7 2023,Automtic,2000 CC Turbo,error Car not available,"6,155,000 EGP"
BMW 320 2023,A/T / 330 M SPORT,2000 CC Turbo,"3,100,000 EGP",
BMW 320 2024,A/T / Luxury,1600 CC Turbo,"3,100,000 EGP",
BMW X1 2024,A/T / M Sport,1500 CC Turbo,"3,100,000 EGP",
Skoda Kodiaq 2024,A/T / Style,1400 CC Turbo,"3,150,000 EGP",
Porsche 718 2023,A/T / Boxster,2000 CC Turbo,"3,171,300 EGP",
Land Rover Range Rover Sport 2020,A/T / HSE Dynamic,3000 CC,"3,200,000 EGP",
BMW 420 2023,A/T / i4 e40 GC,3000 CC Turbo,"3,200,000 EGP",
BMW 420 2023,A/T / CONV.M SPORT,2000 CC Turbo,"3,250,000 EGP",
Porsche Macan 2023,A/T / S,2900 CC Turbo,"3,295,300 EGP",
Toyota Fortuner 2024,Automtic / ELEGANCE,4000 CC,"3,300,000 EGP","4,000,000 EGP"
Porsche 718 2023,A/T / Cayman Style Edition,2000 CC Turbo,"3,301,500 EGP",
Mini Country man 2024 New Generation,A/T / E,0 CC,error Car not available,
Mercedes E 200 2023,A/T / AVANTGARDE,2000 CC Turbo,"3,350,000 EGP",
BMW 320 2024,A/T / Sport,1600 CC Turbo,"3,350,000 EGP",
BMW 218 i 2024,A/T / M235I xDRIVE,2000 CC Turbo,"3,350,000 EGP",
Alfa Romeo Giulia 2024,A/T / Veloce,2000 CC Turbo,"3,375,000 EGP",
Volvo XC60 2023,A/T / plus Bright AWD,2000 CC Turbo,"3,375,000 EGP",
Land Rover Range Rover Vogue 2020,Automtic,3000 CC,"3,390,000 EGP",
Skoda Kodiaq 2024,A/T / SPORT LINE,1400 CC Turbo,"3,400,000 EGP","3,850,000 EGP"
Porsche 718 2023,A/T / Boxster Style Edition,2000 CC Turbo,"3,453,400 EGP",
Toyota Fortuner 2024,A/T / Sport,4000 CC,"3,500,000 EGP","4,150,000 EGP"
Nissan Patrol 2022,Automatic / Full option,5600 CC,error Car not available,
Porsche 718 2023,A/T / Cayman S,2500 CC Turbo,"3,526,126 EGP",
Land Rover Range Rover Sport 2020,A/T / Autobiography Dynamic,3000 CC,"3,550,000 EGP",
Land Rover Range Rover Vogue 2020,Automtic / LWB,3000 CC,"3,550,000 EGP",
Porsche 718 2023,A/T / Boxster S,2500 CC Turbo,"3,552,600 EGP",
Alfa Romeo Stelvio 2024,A/T / Sprint,2000 CC Turbo,"3,600,000 EGP",
Mercedes GLC 200 AMG Imported 2023,Automtic,2000 CC Turbo,"3,600,000 EGP",
BMW 520 2023,A/T / 530I Luxury,2000 CC Turbo,"3,600,000 EGP",
Volvo XC60 2023,A/T / Ultimate Dark AWD,2000 CC Turbo,"3,600,000 EGP",
BMW IX1 2024,A/T / Elc,0 CC,"3,600,000 EGP",
BMW X3 2023,A/T / xDrive30i xLine,2000 CC Turbo,"3,600,000 EGP",
BMW 420 2024,A/T / GC,2000 CC Turbo,"3,700,000 EGP",
Kia Sorento 2023,A/T / Top Line,0 CC,"3,749,900 EGP",
Maserati Quattroporte 2019,Automtic / S,3000 CC,"3,750,000 EGP",
Mercedes E 200 2023,A/T / AMG,2000 CC Turbo,"3,750,000 EGP",
